SG1,000450,000068,05,10,07.0,P
SG2,1111,0.069,0.455,01,1010,A
SG3,0.069,0.455,020,000,1.10.1
SN1,000050,05,0047,1200,02,120
SN2,0.504,5.040,0.504,5.040,PP
NB,000002,000002,000003,000003
GB,000246,000264,000257,000246
NB,000003,000003,000002,000004
GB,000254,000266,000264,000252
NB,000003,000003,000002,000002
GB,000256,000252,000244,000257
NB,000004,000002,000004,000004
GB,000257,000257,000251,000267
NB,000002,000003,000002,000004
GB,000264,000244,000263,000244
NS,000000,000000,000000,000000
GS,000052,000052,000052,000052
GS,000052,000052,000052,000052
GS,000052,000052,000052,000052
GS,000052,000052,000052,000052
GS,000052,000052,000052,000052
GS,000052,000052,000052,000052
SP,0.2249,03.032,004.88,000000
GS,000052,000052,000052,000052
GS,000053,000053,000053,000053
GS,000054,000054,000054,000054
GS,000055,000055,000055,000055
NS,000000,000000,000000,000000
GS,000057,000057,000057,000057
GS,000060,000060,000060,000060
SP,0.2249,03.032,004.88,000000
GS,000064,000064,000064,000064
GS,000069,000069,000069,000069
GA,000075,000075,000075,000075
NS,000000,000000,000000,000000
GA,000083,000083,000083,000083
GA,000093,000093,000093,000093
GA,000106,000106,000106,000106
SP,0.2249,03.032,004.88,000000
GA,000120,000120,000120,000120
GA,000137,000137,000137,000137
NS,000000,000000,000000,000000
GA,000157,000157,000157,000157
GA,000178,000178,000178,000178
GA,000201,000201,000201,000201
GA,000226,000226,000226,000226
SP,0.2249,03.032,004.88,000000
GA,000250,000250,000250,000250
NS,000000,000000,000000,000000
GA,000274,000274,000274,000274
GA,000297,000297,000297,000297
GA,000317,000317,000317,000317
GA,000334,000334,000334,000334
GA,000346,000346,000346,000346
SP,0.2249,03.032,004.88,000000
NS,000000,000000,000000,000000
GA,000354,000354,000354,000354
GA,000357,000357,000357,000357
GA,000354,000354,000354,000354
GA,000345,000345,000345,000345
GA,000332,000332,000332,000332
NS,000000,000000,000000,000000
GA,000315,000315,000315,000315
SP,0.2249,03.032,004.88,000000
GA,000295,000295,000295,000295
GA,000272,000272,000272,000272
GA,000248,000248,000248,000248
GA,000223,000223,000223,000223
NS,000000,000000,000000,000000
GA,000199,000199,000199,000199
GA,000176,000176,000176,000176
SP,0.2249,03.032,004.88,000000
GA,000154,000154,000154,000154
GA,000135,000135,000135,000135
GA,000119,000119,000119,000119
NS,000000,000000,000000,000000
GA,000104,000104,000104,000104
GA,000092,000092,000092,000092
GA,000082,000082,000082,000082
SP,0.2249,03.032,004.88,000000
GS,000074,000074,000074,000074
GS,000068,000068,000068,000068
NS,000000,000000,000000,000000
GS,000063,000063,000063,000063
GS,000060,000060,000060,000060
GS,000057,000057,000057,000057
GS,000055,000055,000055,000055
SP,0.2249,03.032,004.88,000000
GS,000054,000054,000054,000054
NS,000000,000000,000000,000000
GS,000053,000053,000053,000053
GS,000052,000052,000052,000052
GS,000052,000052,000052,000052
GS,000052,000052,000052,000052
GS,000051,000051,000051,000051
SP,0.2249,03.032,004.88,000000
NS,000000,000000,000000,000000
GS,000051,000051,000051,000051
GS,000051,000051,000051,000051
GS,000051,000051,000051,000051
GS,000051,000051,000051,000051
GS,000051,000051,000051,000051
NS,000000,000000,000000,000000
GS,000013,000013,000013,000013
GS,000013,000013,000013,000013
GS,000013,000013,000013,000013
GS,000013,000013,000013,000013
GX,001760,017600,000000,000000
NB,000002,000002,000003,000004
GB,000261,000266,000246,000267
NB,000004,000004,000002,000004
GB,000253,000256,000262,000264
NB,000004,000002,000003,000003
GB,000268,000263,000256,000261
